,Company,Default Probabilities
0,Horn LLC,-0.05990355590828909
1,"Haney, Silva and Evans",0.5853863888073693
2,Franco PLC,0.7536286280331664
3,Vargas Ltd,-0.3765894879756054
4,Salazar-Edwards,-1.0996625463889993
5,King Inc,-0.20467608421412384
6,Armstrong PLC,1.4813555280564135
7,"Webb, Patterson and Weaver",-0.5292747665178869
8,Smith PLC,-0.07668348663407462
9,Page-Johnson,-0.17550800800508323
10,Clark-Browning,0.29558896992423767
11,"Martin, Griffin and Campbell",0.38378286283073065
12,Davis LLC,-0.008042907805616036
13,Woods PLC,-0.29274587642189487
14,Glass-Johnson,0.11110454883452044
15,"Colon, Williams and Schmidt",1.3317991154035453
16,Nguyen PLC,0.1167708068893757
17,Ortiz Inc,1.144214628550527
18,Good Inc,0.21516583655610372
19,Parks-Chaney,-0.11046486563602634
20,Gibson Inc,-0.27763832472826067
21,Norris PLC,-0.34838652104428824
22,Simmons Ltd,-0.46385363709904776
23,"Nelson, York and Peterson",-0.39482933697271455
24,Diaz-Rice,0.6382147901035543
25,Gonzalez-Barber,-0.3573822818305938
26,"Park, Cruz and Bautista",0.19946019951046215
27,Middleton PLC,-0.8296166571385053
28,"Anderson, Cooper and Fox",0.9512438656121968
29,Hernandez Inc,-1.0617467526962887
30,"Leblanc, Mathews and Martin",-0.5722102213510752
31,Gay LLC,0.0933443043860603
32,"Lewis, Steele and Hardy",-0.22835781939489705
33,Taylor-Wallace,0.1752807082982363
34,Hanna PLC,-0.37661796298951183
35,"Moore, Smith and Harvey",0.49727366225612335
36,Stewart-Fuentes,-0.3979361925106146
37,"Davis, Johnston and Burns",-0.43840788104442463
38,Yang Inc,0.42714231336209413
39,Jackson-Mckinney,-0.00547093627142904
40,Murray-Simmons,0.8307445437981801
41,Smith-West,0.7511863973024846
42,Cruz Ltd,-0.19299834162374685
43,"Bass, Ross and Hoover",-0.5204545420747215
44,Hernandez PLC,0.5819013357723273
45,Wilson and Sons,-0.3924154526562615
46,"Gross, Ortiz and Pearson",0.5722356659368688
47,Burgess Group,-0.3716585528197498
48,Marshall Inc,0.18520216316530547
49,"Miller, Morgan and Mcbride",0.8117953789896939
50,"Becker, Costa and Chandler",-0.21728065981689365
51,Ochoa-Waller,0.7650388635730382
52,Williams-Ellis,-0.1215566360289927
53,Dunn Ltd,0.9511604937463053
54,Wells-Garrett,-0.18208879332071207
55,Gomez-Bailey,0.08324972560203635
56,Davis Group,-1.2248187759220865
57,Morrison-White,-0.41101088592250073
58,"Daniels, Garcia and Cole",-0.7198132135420364
59,Johnson LLC,0.4548215072646284
60,Velazquez-Bell,0.07395823875771272
61,"Contreras, Hall and Ritter",1.2042703086478088
62,"Spencer, Clark and Sanchez",-0.36566928318928826
63,Jordan LLC,-0.5658674251215083
64,Page-Wilson,-0.17872383618746362
65,Dodson Ltd,1.0206388623504106
66,Schwartz-Richards,0.9559374661141479
67,"Garner, Morgan and Bennett",-0.5402681294403116
68,Duarte Ltd,-0.23348501554900666
69,"Clark, Blackburn and Ray",-0.32100364260923686
70,"White, Walker and Johnson",0.8067986412183646
71,Wagner PLC,0.6447370557204246
72,Hahn-Parker,0.9370629621666462
73,Mcclain-Kirk,-0.997437122447094
74,Delacruz-Garcia,-0.395880346441546
75,Williams and Sons,-0.9722449714348
76,Walker-Mack,-0.5511071388201937
77,"Chapman, Reid and Sparks",-0.5268962911410311
78,"Bradford, Jones and Garcia",0.96686827976688
79,Johnson-Chavez,-0.603118795697729
80,"Hunt, Davidson and Parks",-0.07096819829247807
81,Willis-Phillips,-0.17297418560117156
82,Price-Larson,0.184852629497705
83,Roberts-Gill,0.37408154651026965
84,Johnston-Peck,0.5563706509178414
85,Webb Inc,0.44993992113789266
86,Carr-Bailey,1.131631837592946
87,Jones Inc,-0.9763083096807522
88,"Carrillo, Hubbard and Mooney",-0.13595715940455202
